Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,
(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,"Total
Construction1","Total
Residential","Total
Nonresidential","Total
Lodging","Total
Office","Total
Commercial","Total
Health care",Date,"Total
Educational","Total
Religious","Total
Public safety","Total
Amusement and recreation","Total
Transportation","Total
Communication",Date,"Total
Power","Total
Highway and street","Total
Sewage and waste disposal","Total
Water supply","Total
Conservation and development","Total
Manufacturing",Date,"Total
Private Construction2","Private
Residential","Private
Nonresidential","Private
Lodging","Private
Office","Private
Commercial","Private
Health care",Date,"Private
Educational","Private
Religious","Private
Amusement and recreation","Private
Transportation","Private
Communication","Private
Power","Private
Manufacturing",Date,"Total
Public Construction3","Public
Residential","Public
Nonresidential","Public
Office","Public
Commercial","Public
Health care","Public
Education",Date,"Public
Public safety","Public
Amusement and recreation","Public
Transportation","Public
Power","Public
Highway and street","Public
Sewage and waste disposal","Public
Water supply","Public
Conservation and development"
Apr-05,"1,080,952","603,915","477,037","12,996","47,552","69,048","32,724",Apr-05,"79,301","7,680","6,652","14,792","24,264","18,633",Apr-05,"36,005","62,012","19,166","14,226","3,955","28,032",Apr-05,"852,438","598,275","254,161","12,870","38,229","65,422","26,784",Apr-05,"12,666","7,680","7,416","6,733","18,621","28,310","27,939",Apr-05,"228,516","5,640","222,876","9,323","3,625","5,940","66,635",Apr-05,"6,369","7,376","17,531","7,695","61,438","18,931","13,945","3,836"
Mar-05,"1,071,467","596,922","474,543","13,675","46,844","68,091","32,751",Mar-05,"76,990","8,195","6,673","15,394","24,234","18,359",Mar-05,"35,480","63,023","18,012","13,565","4,499","28,759",Mar-05,"843,259","591,301","251,961","13,517","37,469","64,279","26,834",Mar-05,"12,742","8,134","7,842","6,371","18,322","26,365","28,650",Mar-05,"228,202","5,621","222,582","9,375","3,812","5,917","64,248",Mar-05,"6,363","7,551","17,862","9,116","62,696","17,780","13,227","4,269"
Feb-05,"1,066,374","593,530","472,845","12,505","47,966","67,732","32,722",Feb-05,"75,018","7,881","6,874","15,939","24,066","18,884",Feb-05,"35,372","64,765","17,647","12,923","4,414","28,136",Feb-05,"839,760","587,962","251,796","12,348","38,553","63,349","26,980",Feb-05,"12,724","7,847","8,249","6,199","18,870","26,819","28,016",Feb-05,"226,618","5,569","221,049","9,412","4,383","5,743","62,294",Feb-05,"6,554","7,691","17,868","8,553","64,318","17,336","12,316","4,256"
Jan-05,"1,045,913","580,999","464,914","11,908","46,601","66,498","32,727",Jan-05,"73,557","8,286","6,899","15,470","25,019","19,146",Jan-05,"36,981","59,935","17,680","12,664","3,886","27,658",Jan-05,"825,638","575,481","250,158","11,826","36,903","62,789","27,041",Jan-05,"12,855","8,286","8,133","6,761","19,121","27,503","27,578",Jan-05,"220,274","5,518","214,756","9,698","3,709","5,686","60,701",Jan-05,"6,572","7,337","18,259","9,478","59,637","17,355","12,324","3,814"
Dec-04,"1,037,684","572,075","465,609","12,725","44,089","66,838","33,064",Dec-04,"75,017","8,468","6,748","16,188","25,333","17,238",Dec-04,"36,071","61,899","17,620","12,088","3,989","28,235",Dec-04,"813,213","566,488","246,725","12,593","33,934","62,959","26,223",Dec-04,"12,795","8,459","8,508","7,049","17,161","27,692","28,119",Dec-04,"224,471","5,587","218,884","10,154","3,879","6,841","62,222",Dec-04,"6,486","7,679","18,285","8,379","61,606","17,354","11,802","3,865"
Nov-04,"1,023,210","556,160","467,050","13,758","43,341","67,763","32,821",Nov-04,"74,438","8,284","6,908","16,141","25,819","16,050",Nov-04,"36,855","63,169","18,030","11,855","4,187","27,631",Nov-04,"797,637","550,608","247,029","13,535","33,643","63,847","26,726",Nov-04,"12,909","8,261","8,567","7,062","15,995","27,838","27,525",Nov-04,"225,573","5,552","220,021","9,699","3,916","6,095","61,530",Nov-04,"6,649","7,573","18,758","9,017","62,906","17,814","11,555","4,103"
Oct-04,"1,015,562","556,268","459,293","13,626","42,519","67,660","31,909",Oct-04,"73,561","8,265","6,412","16,579","25,615","17,296",Oct-04,"37,668","58,573","17,989","11,723","4,352","25,548",Oct-04,"797,562","550,981","246,581","13,456","33,278","64,122","25,985",Oct-04,"12,735","8,260","8,874","6,975","17,257","29,005","25,459",Oct-04,"218,000","5,288","212,712","9,241","3,538","5,924","60,826",Oct-04,"6,156","7,705","18,640","8,662","58,303","17,793","11,350","4,271"
Sep-04,"1,012,290","552,584","459,706","13,679","42,161","69,718","32,456",Sep-04,"75,080","8,435","7,049","16,695","25,116","16,510",Sep-04,"39,862","54,552","17,754","12,571","4,671","23,397",Sep-04,"793,384","546,516","246,868","13,480","32,627","65,631","26,596",Sep-04,"12,703","8,431","8,586","6,913","16,397","30,686","23,193",Sep-04,"218,907","6,068","212,838","9,534","4,087","5,861","62,378",Sep-04,"6,788","8,109","18,203","9,176","54,231","17,496","12,143","4,312"
Aug-04,"1,013,724","557,520","456,204","13,146","42,560","68,187","32,334",Aug-04,"74,491","8,075","7,341","16,941","25,184","15,792",Aug-04,"37,287","57,106","18,159","12,770","4,172","22,661",Aug-04,"792,904","551,556","241,348","12,826","32,790","64,469","26,304",Aug-04,"12,537","8,072","8,792","6,942","15,748","28,835","22,525",Aug-04,"220,820","5,964","214,856","9,770","3,717","6,030","61,954",Aug-04,"7,068","8,149","18,242","8,451","56,840","17,813","12,301","4,019"
Jul-04,"1,006,119","548,965","457,154","12,827","43,847","71,513","32,627",Jul-04,"75,549","8,455","7,181","16,801","25,823","15,299",Jul-04,"30,807","57,778","18,483","13,801","4,221","22,141",Jul-04,"782,082","543,194","238,888","12,478","34,202","67,602","26,546",Jul-04,"12,482","8,453","8,509","6,924","15,268","22,991","21,973",Jul-04,"224,037","5,771","218,266","9,645","3,911","6,082","63,067",Jul-04,"6,902","8,292","18,899","7,816","57,503","18,183","13,239","4,176"
Jun-04,"983,072","533,344","449,728","12,599","41,823","69,328","32,732",Jun-04,"76,327","8,237","6,964","16,996","24,261","14,777",Jun-04,"30,833","59,954","17,653","12,764","3,827","20,654",Jun-04,"760,299","527,780","232,519","12,115","32,513","65,215","26,640",Jun-04,"12,455","8,233","8,613","6,738","14,697","22,764","20,483",Jun-04,"222,773","5,564","217,209","9,310","4,113","6,092","63,871",Jun-04,"6,666","8,383","17,522","8,068","59,498","17,339","12,093","3,516"
May-04,"974,158","527,957","446,200","12,270","42,216","67,347","32,551",May-04,"73,204","8,218","7,196","17,363","24,232","15,050",May-04,"30,928","58,842","18,301","12,437","3,788","22,258",May-04,"755,267","522,311","232,956","11,759","32,664","63,368","26,813",May-04,"12,480","8,217","8,883","6,616","14,914","23,458","22,122",May-04,"218,891","5,647","213,244","9,552","3,979","5,739","60,724",May-04,"6,875","8,480","17,616","7,471","58,426","17,938","12,031","3,631"
Apr-04,"967,761","518,071","449,690","11,970","41,979","66,005","33,062",Apr-04,"73,932","8,152","7,171","16,652","24,899","14,812",Apr-04,"33,909","60,656","18,004","12,983","3,979","21,525",Apr-04,"745,996","512,559","233,437","11,422","32,820","62,109","27,084",Apr-04,"12,973","8,151","8,087","6,593","14,713","26,619","21,351",Apr-04,"221,765","5,512","216,253","9,159","3,896","5,978","60,960",Apr-04,"6,822","8,565","18,306","7,290","60,418","17,544","12,574","3,921"
Mar-04,"960,946","511,618","449,328","11,911","42,266","63,805","32,031",Mar-04,"74,162","7,995","7,114","16,587","25,382","14,683",Mar-04,"36,085","60,294","17,969","13,184","4,076","21,786",Mar-04,"739,724","506,668","233,056","11,274","32,413","60,085","26,467",Mar-04,"12,859","7,994","8,035","6,791","14,570","29,157","21,681",Mar-04,"221,222","4,950","216,272","9,854","3,719","5,564","61,303",Mar-04,"6,804","8,552","18,591","6,929","60,004","17,493","12,858","3,746"
Feb-04,"938,656","505,926","432,730","10,583","41,200","62,819","30,754",Feb-04,"72,228","7,754","6,770","16,351","24,282","14,235",Feb-04,"34,380","55,212","17,510","12,613","3,719","22,321",Feb-04,"728,334","501,283","227,051","10,067","31,850","59,110","25,440",Feb-04,"12,553","7,742","7,931","6,936","14,173","27,348","22,116",Feb-04,"210,322","4,643","205,679","9,350","3,709","5,314","59,675",Feb-04,"6,462","8,420","17,346","7,032","54,671","17,079","12,337","3,489"
Jan-04,"938,826","503,959","434,867","9,268","39,540","62,646","29,467",Jan-04,"70,897","7,517","7,164","16,878","24,267","13,007",Jan-04,"41,892","57,304","17,364","12,869","3,453","21,333",Jan-04,"726,290","498,940","227,349","8,778","30,793","58,958","24,028",Jan-04,"12,970","7,514","7,525","6,629","12,927","34,476","21,253",Jan-04,"212,536","5,019","207,518","8,748","3,688","5,439","57,927",Jan-04,"6,873","9,353","17,638","7,416","56,936","16,940","12,621","3,285"
Dec-03,"948,491","508,637","439,815","9,481","40,788","61,706","31,005",Dec-03,"73,343","7,867","7,054","16,544","23,222","15,294",Dec-03,"40,951","57,916","17,592","12,097","3,510","21,445",Dec-03,"735,545","503,356","232,151","9,020","32,437","57,811","25,660",Dec-03,"13,365","7,864","8,277","6,542","15,201","33,083","21,392",Dec-03,"212,946","5,281","207,664","8,351","3,895","5,345","59,978",Dec-03,"6,779","8,267","16,680","7,869","57,719","17,263","11,766","3,142"
Nov-03,"925,985","490,441","435,494","10,085","41,293","60,489","30,003",Nov-03,"71,888","8,308","7,166","16,584","24,402","14,869",Nov-03,"36,572","58,686","17,054","12,328","3,780","21,988",Nov-03,"711,373","485,245","226,077","9,497","32,535","56,549","24,751",Nov-03,"12,858","8,302","8,097","6,346","14,736","28,817","21,941",Nov-03,"214,612","5,196","209,417","8,758","3,940","5,252","59,030",Nov-03,"6,902","8,488","18,057","7,754","58,466","16,664","12,015","3,318"
Oct-03,"925,732","475,234","450,477","10,597","42,373","62,855","29,710",Oct-03,"74,433","8,803","7,664","17,180","24,977","14,266",Oct-03,"42,228","59,013","17,158","12,112","4,261","22,846",Oct-03,"702,997","469,855","233,121","9,796","33,366","58,251","24,450",Oct-03,"13,351","8,801","8,484","6,646","14,194","31,491","22,797",Oct-03,"222,735","5,379","217,356","9,007","4,605","5,260","61,082",Oct-03,"7,414","8,697","18,332","10,738","58,853","16,815","11,755","3,874"
Sep-03,"911,589","463,954","447,628","10,399","40,281","62,743","29,079",Sep-03,"74,273","8,748","7,179","16,565","25,184","14,791",Sep-03,"42,523","59,977","17,034","12,246","4,184","22,422",Sep-03,"692,384","458,676","233,700","9,517","30,994","58,186","23,768",Sep-03,"14,002","8,744","8,092","6,669","14,682","35,058","22,317",Sep-03,"219,205","5,277","213,928","9,287","4,557","5,311","60,271",Sep-03,"6,938","8,472","18,516","7,465","59,799","16,563","11,894","3,753"
Aug-03,"901,839","458,676","443,163","10,441","39,813","64,379","29,253",Aug-03,"74,954","8,806","7,274","16,323","24,998","14,352",Aug-03,"39,504","57,611","16,670","12,869","4,367","21,551",Aug-03,"681,626","453,031","228,595","9,572","30,713","60,148","23,904",Aug-03,"13,685","8,800","7,721","6,489","14,244","30,661","21,517",Aug-03,"220,213","5,645","214,568","9,100","4,231","5,349","61,269",Aug-03,"7,051","8,602","18,508","8,842","57,473","16,370","12,547","4,210"
Jul-03,"891,264","454,040","437,224","10,565","39,256","63,748","29,065",Jul-03,"76,200","8,798","7,465","16,655","24,692","15,194",Jul-03,"35,151","55,695","16,520","12,522","4,208","21,492",Jul-03,"673,624","448,917","224,707","9,553","29,921","59,419","23,940",Jul-03,"13,844","8,772","7,836","6,444","15,051","27,318","21,444",Jul-03,"217,640","5,123","212,517","9,334","4,328","5,124","62,356",Jul-03,"7,280","8,820","18,248","7,834","55,490","16,267","12,151","4,057"
Jun-03,"880,865","436,163","444,683","10,826","38,839","62,655","29,744",Jun-03,"76,247","8,723","7,124","17,416","25,303","14,763",Jun-03,"41,449","55,866","16,347","12,719","4,121","22,542",Jun-03,"662,446","430,929","231,498","9,949","30,213","58,254","24,551",Jun-03,"13,800","8,708","8,095","6,566","14,659","33,203","22,403",Jun-03,"218,419","5,234","213,185","8,626","4,401","5,193","62,447",Jun-03,"6,997","9,321","18,737","8,245","55,703","16,051","12,359","3,970"
May-03,"866,814","426,270","440,570","14,653","37,263","61,317","29,297",May-03,"75,303","8,639","7,067","17,969","24,841","14,688",May-03,"41,129","53,949","15,727","12,537","4,035","22,157",May-03,"653,690","421,143","232,573","13,804","28,785","57,203","24,189",May-03,"13,863","8,614","7,759","6,518","14,572","34,038","22,072",May-03,"213,124","5,127","207,997","8,478","4,114","5,108","61,440",May-03,"6,915","10,209","18,323","7,092","53,781","15,522","12,085","3,855"
Apr-03,"859,459","425,493","433,996","10,430","37,220","60,140","28,953",Apr-03,"73,220","8,529","6,958","17,250","25,179","14,457",Apr-03,"43,994","54,692","16,108","12,280","3,932","20,655",Apr-03,"647,572","420,510","227,092","9,544","28,520","56,343","24,045",Apr-03,"12,958","8,525","7,729","6,529","14,355","36,901","20,541",Apr-03,"211,887","4,983","206,904","8,700","3,797","4,908","60,262",Apr-03,"6,818","9,521","18,650","7,092","54,507","15,938","11,814","3,789"
Mar-03,"851,132","418,232","432,969","10,877","37,994","58,825","28,925",Mar-03,"73,931","8,421","6,992","16,693","24,252","14,375",Mar-03,"45,562","53,636","15,652","12,765","3,298","20,772",Mar-03,"642,886","413,303","229,653","10,112","29,351","55,746","24,121",Mar-03,"13,195","8,403","7,572","6,568","14,297","38,673","20,723",Mar-03,"208,246","4,929","203,317","8,643","3,079","4,804","60,735",Mar-03,"6,862","9,121","17,685","6,889","53,496","15,508","12,324","3,261"
Feb-03,"859,225","422,705","436,519","10,078","38,233","58,704","29,153",Feb-03,"72,935","8,577","7,029","16,446","25,484","13,690",Feb-03,"44,580","58,630","16,510","13,153","3,501","19,817",Feb-03,"643,146","417,500","225,646","9,416","29,344","55,183","24,210",Feb-03,"12,915","8,576","7,079","6,877","13,643","37,657","19,754",Feb-03,"216,078","5,205","210,873","8,888","3,522","4,943","60,020",Feb-03,"6,938","9,367","18,608","6,923","58,549","16,338","12,714","3,291"
Jan-03,"863,855","423,049","440,816","10,112","39,808","60,390","27,690",Jan-03,"75,140","8,617","6,976","16,350","24,655","13,614",Jan-03,"43,640","61,246","16,257","12,697","3,919","19,703",Jan-03,"644,597","417,788","226,819","9,382","30,925","56,837","22,981",Jan-03,"13,183","8,614","6,506","6,745","13,589","37,189","19,598",Jan-03,"219,258","5,261","213,997","8,884","3,553","4,709","61,957",Jan-03,"6,856","9,844","17,910","6,451","61,134","16,077","12,060","3,699"
Dec-02,"855,921","416,844","439,165","9,983","40,604","57,919","28,151",Dec-02,"73,834","8,364","7,201","16,731","24,524","18,264",Dec-02,"35,491","64,394","16,159","12,962","4,198","20,384",Dec-02,"634,179","411,758","222,509","9,302","31,654","54,711","23,321",Dec-02,"12,700","8,354","6,887","6,485","18,227","29,428","20,214",Dec-02,"221,742","5,086","216,656","8,950","3,209","4,831","61,134",Dec-02,"6,972","9,844","18,039","6,063","64,279","15,977","12,488","3,973"
Nov-02,"844,697","406,609","437,914","9,920","41,711","61,071","28,486",Nov-02,"75,315","8,419","7,279","16,701","25,425","17,111",Nov-02,"36,549","56,464","15,843","12,623","3,993","21,004",Nov-02,"630,314","401,424","228,716","9,296","33,125","57,379","23,680",Nov-02,"13,356","8,410","6,945","6,588","17,073","30,746","20,804",Nov-02,"214,383","5,185","209,198","8,586","3,692","4,806","61,959",Nov-02,"7,002","9,756","18,838","5,803","56,332","15,670","12,124","3,759"
Oct-02,"839,690","402,091","437,702","10,624","41,621","61,772","28,392",Oct-02,"75,457","8,030","7,146","17,340","24,911","17,830",Oct-02,"33,202","57,693","15,734","12,999","4,041","20,908",Oct-02,"625,547","397,077","228,572","10,008","32,887","58,129","23,659",Oct-02,"13,036","8,026","7,580","6,721","17,784","28,820","20,691",Oct-02,"214,144","5,014","209,130","8,734","3,644","4,733","62,421",Oct-02,"6,812","9,760","18,190","4,382","57,615","15,522","12,634","3,800"
Sep-02,"832,134","400,059","432,040","10,398","42,076","61,997","27,951",Sep-02,"74,364","8,022","7,469","17,854","25,818","16,992",Sep-02,"29,553","56,791","16,121","12,718","3,749","20,168",Sep-02,"619,424","394,820","224,568","9,865","33,767","58,489","22,955",Sep-02,"12,557","8,016","7,205","6,936","16,938","26,442","20,028",Sep-02,"212,711","5,240","207,471","8,309","3,508","4,996","61,808",Sep-02,"7,119","10,649","18,882","3,111","56,598","15,926","12,329","3,504"
Aug-02,"839,008","404,055","434,698","10,112","43,168","61,223","27,763",Aug-02,"73,643","8,267","7,577","17,078","26,450","17,956",Aug-02,"31,051","57,418","16,278","12,189","3,689","20,837",Aug-02,"626,571","398,875","227,442","9,613","34,243","57,623","23,096",Aug-02,"12,425","8,263","7,508","7,154","17,931","27,585","20,733",Aug-02,"212,437","5,181","207,256","8,925","3,600","4,667","61,219",Aug-02,"7,356","9,570","19,296","3,466","57,267","16,052","11,741","3,466"
Jul-02,"847,129","410,171","437,034","10,496","43,832","58,971","27,602",Jul-02,"72,832","8,085","7,551","16,824","25,854","18,730",Jul-02,"33,928","58,337","16,322","11,976","3,604","22,090",Jul-02,"633,982","404,632","229,426","10,135","34,703","55,599","22,832",Jul-02,"12,540","8,081","7,456","6,653","18,707","29,958","21,868",Jul-02,"213,148","5,539","207,608","9,129","3,372","4,770","60,292",Jul-02,"7,332","9,367","19,201","3,971","58,189","16,138","11,655","3,582"
Jun-02,"846,777","407,305","439,777","10,991","44,076","60,982","27,686",Jun-02,"71,907","8,025","8,509","17,199","26,725","19,256",Jun-02,"33,839","55,427","16,058","12,556","3,340","23,200",Jun-02,"636,959","401,920","235,344","10,633","35,208","57,773","23,092",Jun-02,"12,772","8,021","7,734","7,000","19,234","29,911","22,981",Jun-02,"209,818","5,385","204,433","8,869","3,209","4,594","59,135",Jun-02,"8,283","9,465","19,726","3,929","55,273","15,838","12,197","3,314"
May-02,"850,935","399,164","451,789","11,838","45,636","62,741","26,459",May-02,"75,577","8,510","8,023","16,988","26,452","18,735",May-02,"37,871","56,278","16,237","13,384","3,199","23,862",May-02,"635,840","394,223","241,636","11,581","35,652","59,318","22,054",May-02,"13,663","8,506","7,551","6,900","18,544","33,307","23,650",May-02,"215,094","4,941","210,154","9,984","3,423","4,406","61,914",May-02,"7,816","9,437","19,551","4,565","56,191","15,979","13,026","3,199"
Apr-02,"858,240","404,255","453,776","12,104","46,709","64,879","26,117",Apr-02,"74,553","8,795","8,025","17,264","25,609","19,150",Apr-02,"41,380","53,053","16,366","12,213","3,076","24,482",Apr-02,"649,539","398,990","250,341","11,833","37,198","61,548","21,570",Apr-02,"13,922","8,793","7,636","6,893","18,895","36,754","24,301",Apr-02,"208,700","5,266","203,435","9,511","3,331","4,547","60,631",Apr-02,"7,846","9,628","18,717","4,626","52,965","16,035","11,823","3,066"
Mar-02,"844,551","390,942","453,504","11,036","46,215","66,722","25,639",Mar-02,"72,247","8,472","8,035","17,988","26,742","19,092",Mar-02,"41,738","53,009","16,286","11,954","3,332","24,998",Mar-02,"637,762","385,406","252,252","10,810","37,058","63,256","20,986",Mar-02,"13,724","8,469","7,472","6,907","19,053","38,707","24,835",Mar-02,"206,789","5,536","201,253","9,158","3,467","4,652","58,523",Mar-02,"7,933","10,516","19,835","3,031","52,889","15,960","11,530","3,328"
Feb-02,"862,338","391,434","470,946","11,058","47,728","65,840","25,438",Feb-02,"74,336","8,520","8,818","18,317","25,662","19,943",Feb-02,"44,674","61,801","17,059","12,063","3,712","25,977",Feb-02,"642,371","385,745","256,668","10,861","38,891","62,196","20,859",Feb-02,"13,588","8,517","7,925","6,437","19,831","40,693","25,816",Feb-02,"219,966","5,689","214,277","8,837","3,644","4,579","60,748",Feb-02,"8,667","10,392","19,226","3,981","61,664","16,645","11,717","3,704"
Jan-02,"858,654","382,979","475,704","11,862","49,140","68,254","25,746",Jan-02,"72,357","8,745","8,468","17,866","25,547","18,873",Jan-02,"46,050","62,723","16,392","11,760","3,603","28,318",Jan-02,"641,333","377,631","263,731","11,669","40,176","63,972","20,888",Jan-02,"13,616","8,742","7,822","6,512","18,843","42,407","28,116",Jan-02,"217,321","5,348","211,973","8,964","4,282","4,859","58,742",Jan-02,"8,356","10,044","19,035","3,643","62,553","16,077","11,412","3,578"
Dec-01,"849,689",,,,,,,Dec-01,,,,,,,Dec-01,,,,,,,Dec-01,"640,399","376,279","264,194","12,439","39,970","62,247","19,693",Dec-01,"13,991","8,501","7,677","6,999","18,372","43,150","30,083",Dec-01,"209,290",,,,,,,Dec-01,,,,,,,,
Nov-01,"843,911",,,,,,,Nov-01,,,,,,,Nov-01,,,,,,,Nov-01,"636,361","375,803","260,359","13,608","42,142","62,629","18,786",Nov-01,"13,971","8,596","8,233","6,621","18,658","36,581","29,466",Nov-01,"207,550",,,,,,,Nov-01,,,,,,,,
Oct-01,"845,941",,,,,,,Oct-01,,,,,,,Oct-01,,,,,,,Oct-01,"639,264","370,957","268,404","14,110","44,497","62,638","19,616",Oct-01,"13,913","8,420","8,027","6,560","18,954","36,404","34,000",Oct-01,"206,677",,,,,,,Oct-01,,,,,,,,
Sep-01,"837,412",,,,,,,Sep-01,,,,,,,Sep-01,,,,,,,Sep-01,"638,853","368,809","270,320","14,628","44,443","62,756","19,169",Sep-01,"13,619","8,711","7,818","6,490","19,814","32,862","38,751",Sep-01,"198,558",,,,,,,Sep-01,,,,,,,,
Aug-01,"847,465",,,,,,,Aug-01,,,,,,,Aug-01,,,,,,,Aug-01,"643,815","369,000","274,690","15,308","46,992","63,339","18,869",Aug-01,"12,928","8,523","7,783","7,039","20,200","33,929","38,439",Aug-01,"203,649",,,,,,,Aug-01,,,,,,,,
Jul-01,"850,471",,,,,,,Jul-01,,,,,,,Jul-01,,,,,,,Jul-01,"645,593","366,500","279,200","15,672","50,497","65,300","19,113",Jul-01,"12,547","8,560","8,006","7,132","18,902","32,544","39,336",Jul-01,"204,878",,,,,,,Jul-01,,,,,,,,
Jun-01,"855,730",,,,,,,Jun-01,,,,,,,Jun-01,,,,,,,Jun-01,"650,470","365,905","284,499","15,439","53,527","63,871","18,995",Jun-01,"12,578","8,345","8,422","7,289","19,441","34,680","40,082",Jun-01,"205,260",,,,,,,Jun-01,,,,,,,,
May-01,"848,146",,,,,,,May-01,,,,,,,May-01,,,,,,,May-01,"641,607","360,534","281,069","14,783","51,841","64,445","19,846",May-01,"12,035","8,393","7,815","7,435","22,629","31,356","38,921",May-01,"206,540",,,,,,,May-01,,,,,,,,
Apr-01,"842,392",,,,,,,Apr-01,,,,,,,Apr-01,,,,,,,Apr-01,"640,778","361,991","278,653","14,534","53,994","65,593","19,414",Apr-01,"12,237","8,296","7,704","7,495","20,623","26,540","40,776",Apr-01,"201,615",,,,,,,Apr-01,,,,,,,,
Mar-01,"828,057",,,,,,,Mar-01,,,,,,,Mar-01,,,,,,,Mar-01,"630,602","350,029","280,450","14,714","56,789","64,306","20,798",Mar-01,"12,177","8,217","7,801","7,464","18,642","25,233","42,465",Mar-01,"197,455",,,,,,,Mar-01,,,,,,,,
Feb-01,"813,647",,,,,,,Feb-01,,,,,,,Feb-01,,,,,,,Feb-01,"624,444","353,629","270,735","14,544","55,683","64,543","19,645",Feb-01,"12,035","8,034","7,446","7,203","19,279","20,149","40,064",Feb-01,"189,203",,,,,,,Feb-01,,,,,,,,
Jan-01,"814,479",,,,,,,Jan-01,,,,,,,Jan-01,,,,,,,Jan-01,"626,287","348,279","278,005","14,442","57,565","63,292","20,379",Jan-01,"12,280","7,952","7,266","7,257","20,205","21,947","43,224",Jan-01,"188,192",,,,,,,Jan-01,,,,,,,,
Dec-00,"811,516",,,,,,,Dec-00,,,,,,,Dec-00,,,,,,,Dec-00,"626,222","344,139","281,975","14,576","58,202","64,012","20,031",Dec-00,"11,766","7,929","7,382","7,022","22,231","28,131","38,470",Dec-00,"185,294",,,,,,,Dec-00,,,,,,,,
Nov-00,"820,054",,,,,,,Nov-00,,,,,,,Nov-00,,,,,,,Nov-00,"636,061","347,301","288,986","15,734","56,587","64,073","20,648",Nov-00,"12,160","8,006","7,977","6,851","19,907","35,718","39,100",Nov-00,"183,993",,,,,,,Nov-00,,,,,,,,
Oct-00,"816,100",,,,,,,Oct-00,,,,,,,Oct-00,,,,,,,Oct-00,"630,731","344,095","286,731","15,972","54,921","66,319","20,847",Oct-00,"12,192","8,319","7,914","7,039","17,874","33,724","39,157",Oct-00,"185,369",,,,,,,Oct-00,,,,,,,,
Sep-00,"814,330",,,,,,,Sep-00,,,,,,,Sep-00,,,,,,,Sep-00,"628,561","339,048","289,543","15,966","56,252","66,178","20,008",Sep-00,"12,016","8,092","8,477","7,037","22,175","32,482","38,456",Sep-00,"185,769",,,,,,,Sep-00,,,,,,,,
Aug-00,"805,341",,,,,,,Aug-00,,,,,,,Aug-00,,,,,,,Aug-00,"621,951","337,583","284,502","16,524","54,796","66,254","19,950",Aug-00,"12,629","7,997","9,013","6,864","17,497","32,121","38,617",Aug-00,"183,390",,,,,,,Aug-00,,,,,,,,
Jul-00,"783,795",,,,,,,Jul-00,,,,,,,Jul-00,,,,,,,Jul-00,"612,019","337,374","274,805","16,655","52,106","63,175","19,731",Jul-00,"12,043","8,310","8,666","6,955","17,694","30,455","37,295",Jul-00,"171,776",,,,,,,Jul-00,,,,,,,,
Jun-00,"795,411",,,,,,,Jun-00,,,,,,,Jun-00,,,,,,,Jun-00,"620,043","348,133","271,873","17,298","51,906","63,376","19,722",Jun-00,"11,475","8,117","8,845","7,147","18,873","24,852","38,449",Jun-00,"175,368",,,,,,,Jun-00,,,,,,,,
May-00,"805,005",,,,,,,May-00,,,,,,,May-00,,,,,,,May-00,"626,076","349,907","275,989","17,060","52,588","62,755","19,218",May-00,"12,180","7,873","9,302","7,275","18,004","27,968","39,979",May-00,"178,929",,,,,,,May-00,,,,,,,,
Apr-00,"804,766",,,,,,,Apr-00,,,,,,,Apr-00,,,,,,,Apr-00,"621,040","356,188","264,832","16,926","50,719","62,109","18,797",Apr-00,"10,765","7,847","9,175","6,971","17,082","26,305","36,553",Apr-00,"183,725",,,,,,,Apr-00,,,,,,,,
Mar-00,"809,459",,,,,,,Mar-00,,,,,,,Mar-00,,,,,,,Mar-00,"621,553","353,452","268,020","17,219","49,334","63,200","18,188",Mar-00,"11,270","8,046","9,793","7,240","18,052","27,341","36,433",Mar-00,"187,906",,,,,,,Mar-00,,,,,,,,
Feb-00,"793,737",,,,,,,Feb-00,,,,,,,Feb-00,,,,,,,Feb-00,"617,385","351,933","265,200","15,820","47,567","65,092","17,790",Feb-00,"10,850","8,293","9,476","7,187","16,775","28,911","35,742",Feb-00,"176,352",,,,,,,Feb-00,,,,,,,,
Jan-00,"784,940",,,,,,,Jan-00,,,,,,,Jan-00,,,,,,,Jan-00,"600,264","353,065","247,213","15,899","42,558","61,228","18,394",Jan-00,"10,416","7,610","9,230","4,948","19,353","23,767","32,449",Jan-00,"184,676",,,,,,,Jan-00,,,,,,,,
